"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogo"
"ablation_stage1_full_density_sweep"
"07/15/2026 17:05:41:418 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed"
"1","450","0.8","0.1","false","false","false","3","0","450","3.5395192386773062","3","251","0.5819521602737896","0.07777777777777778","0.8486286720026279"
"3","450","0.8","0.1","false","false","false","3","0","450","3.459859004335167","4","215","0.620687073013506","0.09111111111111111","0.8489939174494291"
"2","450","0.8","0.1","false","false","false","3","0","450","3.606024732591694","2","209","0.6123755919403505","0.09111111111111111","0.8515607932412884"
"5","450","0.8","0.1","false","false","false","3","0","450","3.4145135101102255","2","252","0.5771833431428913","0.07777777777777778","0.8479235662406308"
"1","450","0.8","0.1","false","false","false","3","1","450","3.4853776424151297","2","240","0.5673389447774598","0.07555555555555556","0.8486286720026279"
"3","450","0.8","0.1","false","false","false","3","1","450","3.405639402805454","2","226","0.61412282419612","0.08444444444444445","0.8489939174494283"
"4","450","0.8","0.1","false","false","false","3","0","450","3.4450861825966355","4","220","0.6148084294797193","0.08888888888888889","0.8493720411428926"
"5","450","0.8","0.1","false","false","false","3","1","450","3.3591126317847317","2","245","0.5670495432009589","0.07555555555555556","0.8479235662406303"
"1","450","0.8","0.1","false","false","false","3","2","450","3.452030205569519","3","235","0.5578401595279323","0.07333333333333333","0.8486286720026277"
"6","1050","0.8","0.1","false","false","false","3","0","1050","3.4983868437736803","5","810","0.4070102501377704","0.09142857142857143","0.8491206550498999"
"2","450","0.8","0.1","false","false","false","3","1","450","3.5497599137226152","2","214","0.6034131671192041","0.08444444444444445","0.8515607932412881"
"3","450","0.8","0.1","false","false","false","3","2","450","3.3705810390562094","4","220","0.6104740120295714","0.08222222222222222","0.8489939174494281"
"4","450","0.8","0.1","false","false","false","3","1","450","3.391476289389788","3","229","0.6092747736799576","0.08666666666666667","0.849372041142893"
"1","450","0.8","0.1","false","false","false","3","3","450","3.4179697223444063","5","268","0.5535299285848205","0.04888888888888889","0.8486286720026283"
"5","450","0.8","0.1","false","false","false","3","2","450","3.3216983620749656","2","249","0.5667508407727149","0.07111111111111111","0.8479235662406307"
"2","450","0.8","0.1","false","false","false","3","2","450","3.5116350368985163","5","219","0.6101821978990741","0.08444444444444445","0.8515607932412891"
"4","450","0.8","0.1","false","false","false","3","2","450","3.356365589019258","4","235","0.6086796324274659","0.08222222222222222","0.8493720411428928"
"5","450","0.8","0.1","false","false","false","3","3","450","3.2850514635076355","1","259","0.5662874728462106","0.051111111111111114","0.847923566240631"
"2","450","0.8","0.1","false","false","false","3","3","450","3.474205671963292","6","222","0.6134437306534362","0.06222222222222222","0.8515607932412884"
"1","450","0.8","0.1","false","false","false","3","4","450","3.3829485642609916","4","257","0.5558969213886049","0.03333333333333333","0.8486286720026279"
"3","450","0.8","0.1","false","false","false","3","3","450","3.3348062658846565","5","221","0.6093948609869869","0.05333333333333334","0.8489939174494286"
"4","450","0.8","0.1","false","false","false","3","3","450","3.3220476967297077","5","233","0.6096321314926828","0.06222222222222222","0.8493720411428924"
"5","450","0.8","0.1","false","false","false","3","4","450","3.248660201271471","6","249","0.564692825845218","0.03777777777777778","0.8479235662406314"
"6","1050","0.8","0.1","false","false","false","3","1","1050","3.4390922690580243","5","818","0.39840975734520934","0.08571428571428572","0.8491206550499015"
"3","450","0.8","0.1","false","false","false","3","4","450","3.3001771530690456","6","229","0.6142227643926564","0.04666666666666667","0.8489939174494285"
"5","450","0.8","0.1","false","false","false","3","5","450","3.21030169936674","5","230","0.5689566105280842","0.035555555555555556","0.8479235662406316"
"1","450","0.8","0.1","false","false","false","3","5","450","3.348281888405789","2","255","0.5566574768073357","0.03111111111111111","0.8486286720026274"
"4","450","0.8","0.1","false","false","false","3","4","450","3.286060136144326","5","222","0.6070208891546339","0.05333333333333334","0.8493720411428929"
"3","450","0.8","0.1","false","false","false","3","5","450","3.2649335670335677","5","243","0.6095174387803115","0.04","0.848993917449429"
"2","450","0.8","0.1","false","false","false","3","4","450","3.4362982321060933","7","218","0.6192760736230629","0.051111111111111114","0.851560793241289"
"5","450","0.8","0.1","false","false","false","3","6","450","3.1747109562852613","5","234","0.5762603411962186","0.035555555555555556","0.8479235662406301"
"4","450","0.8","0.1","false","false","false","3","5","450","3.245555171900901","4","228","0.6058492064022625","0.051111111111111114","0.8493720411428933"
"3","450","0.8","0.1","false","false","false","3","6","450","3.233367406812082","7","223","0.6095401511489881","0.03777777777777778","0.8489939174494292"
"5","450","0.8","0.1","false","false","false","3","7","450","3.140033619537603","7","249","0.5785714929301202","0.03333333333333333","0.8479235662406303"
"2","450","0.8","0.1","false","false","false","3","5","450","3.396747226601843","5","240","0.6137341062337826","0.044444444444444446","0.8515607932412884"
"4","450","0.8","0.1","false","false","false","3","6","450","3.2133568288056757","3","257","0.6069149225278382","0.051111111111111114","0.8493720411428923"
"3","450","0.8","0.1","false","false","false","3","7","450","3.1967234809839247","5","237","0.6116745408100184","0.03333333333333333","0.8489939174494283"
"5","450","0.8","0.1","false","false","false","3","8","450","3.103674931958213","6","247","0.5717568619493654","0.028888888888888888","0.8479235662406319"
"1","450","0.8","0.1","false","false","false","3","6","450","3.315167729794807","3","249","0.5557339629063432","0.03111111111111111","0.8486286720026289"
"3","450","0.8","0.1","false","false","false","3","8","450","3.1647657762759627","5","229","0.6099727590556645","0.03333333333333333","0.8489939174494295"
"5","450","0.8","0.1","false","false","false","3","9","450","3.0678369342923903","6","256","0.5681859434764598","0.028888888888888888","0.8479235662406314"
"4","450","0.8","0.1","false","false","false","3","7","450","3.180539260909772","6","247","0.6143492554143335","0.044444444444444446","0.8493720411428927"
"1","450","0.8","0.1","false","false","false","3","7","450","3.2815663936145025","4","251","0.5540755726907176","0.028888888888888888","0.8486286720026275"
"2","450","0.8","0.1","false","false","false","3","6","450","3.357231526092804","3","229","0.6067254517530114","0.042222222222222223","0.8515607932412883"
"3","450","0.8","0.1","false","false","false","3","9","450","3.127469485160724","4","227","0.6089292182158375","0.024444444444444446","0.848993917449429"
"5","450","0.8","0.1","false","false","false","3","10","450","3.031797044686458","5","237","0.5753625772290893","0.02666666666666667","0.8479235662406299"
